INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 133 packages in 34ms
Audited 126 packages in 297ms
run_start config=config/simulation_abx.yml days=300 hospitals=6 susceptible=300 seed_carriers=40 micro_steps_per_day=12 micro_workers=300 seed=42
day=001 susceptible=0277 carriers=0063 avg_resistant_fraction=0.2412
day=085 susceptible=0001 carriers=0299 avg_resistant_fraction=0.1490
day=086 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1502
day=087 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1514
day=088 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1524
day=089 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1539
day=090 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1561
day=091 susceptible=0001 carriers=0299 avg_resistant_fraction=0.1609
day=092 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1625
day=093 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1668
day=094 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1680
day=095 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1657
day=096 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1693
day=097 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1693
day=098 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1725
day=099 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1756
day=100 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1776
day=101 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1792
day=102 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1817
day=103 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1857
day=104 susceptible=0004 carriers=0296 avg_resistant_fraction=0.1886
day=105 susceptible=0004 carriers=0296 avg_resistant_fraction=0.1896
day=106 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1906
day=107 susceptible=0001 carriers=0299 avg_resistant_fraction=0.1984
day=108 susceptible=0001 carriers=0299 avg_resistant_fraction=0.2015
day=109 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2072
day=110 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2087
day=111 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2109
day=112 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2123
day=113 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2142
day=114 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2197
day=115 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2178
day=116 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2198
day=117 susceptible=0004 carriers=0296 avg_resistant_fraction=0.2220
day=118 susceptible=0001 carriers=0299 avg_resistant_fraction=0.2233
day=119 susceptible=0001 carriers=0299 avg_resistant_fraction=0.2257
day=120 susceptible=0001 carriers=0299 avg_resistant_fraction=0.2255
day=121 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2279
day=122 susceptible=0004 carriers=0296 avg_resistant_fraction=0.2292
day=123 susceptible=0005 carriers=0295 avg_resistant_fraction=0.2312
day=124 susceptible=0005 carriers=0295 avg_resistant_fraction=0.2329
day=125 susceptible=0004 carriers=0296 avg_resistant_fraction=0.2366
day=126 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2376
day=127 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2401
day=128 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2439
day=129 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2471
day=130 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2553
day=131 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2590
day=132 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2633
day=133 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2671
day=134 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2678
day=135 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2721
day=136 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2751
day=137 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2772
day=138 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2818
day=139 susceptible=0004 carriers=0296 avg_resistant_fraction=0.2846
day=140 susceptible=0005 carriers=0295 avg_resistant_fraction=0.2897
day=141 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2893
day=142 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2891
day=143 susceptible=0005 carriers=0295 avg_resistant_fraction=0.2955
day=144 susceptible=0006 carriers=0294 avg_resistant_fraction=0.2978
day=145 susceptible=0005 carriers=0295 avg_resistant_fraction=0.2998
day=146 susceptible=0005 carriers=0295 avg_resistant_fraction=0.3033
day=147 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3077
day=148 susceptible=0003 carriers=0297 avg_resistant_fraction=0.3115
day=149 susceptible=0003 carriers=0297 avg_resistant_fraction=0.3166
day=150 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3202
day=151 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3264
day=152 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3267
day=153 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3320
day=154 susceptible=0003 carriers=0297 avg_resistant_fraction=0.3348
day=155 susceptible=0002 carriers=0298 avg_resistant_fraction=0.3367
day=156 susceptible=0001 carriers=0299 avg_resistant_fraction=0.3396
day=157 susceptible=0001 carriers=0299 avg_resistant_fraction=0.3424
day=158 susceptible=0001 carriers=0299 avg_resistant_fraction=0.3457
day=159 susceptible=0001 carriers=0299 avg_resistant_fraction=0.3509
day=160 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3568
day=161 susceptible=0005 carriers=0295 avg_resistant_fraction=0.3604
day=162 susceptible=0006 carriers=0294 avg_resistant_fraction=0.3625
day=163 susceptible=0007 carriers=0293 avg_resistant_fraction=0.3680
day=164 susceptible=0007 carriers=0293 avg_resistant_fraction=0.3713
day=165 susceptible=0007 carriers=0293 avg_resistant_fraction=0.3767
day=166 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3772
day=167 susceptible=0003 carriers=0297 avg_resistant_fraction=0.3801
day=168 susceptible=0004 carriers=0296 avg_resistant_fraction=0.3831
day=169 susceptible=0002 carriers=0298 avg_resistant_fraction=0.3853
day=170 susceptible=0002 carriers=0298 avg_resistant_fraction=0.3858
day=171 susceptible=0001 carriers=0299 avg_resistant_fraction=0.3873
day=172 susceptible=0002 carriers=0298 avg_resistant_fraction=0.3868
day=173 susceptible=0003 carriers=0297 avg_resistant_fraction=0.3918
day=174 susceptible=0002 carriers=0298 avg_resistant_fraction=0.3974
day=175 susceptible=0002 carriers=0298 avg_resistant_fraction=0.3974
day=176 susceptible=0003 carriers=0297 avg_resistant_fraction=0.4045
day=177 susceptible=0002 carriers=0298 avg_resistant_fraction=0.4099
day=178 susceptible=0003 carriers=0297 avg_resistant_fraction=0.4106
day=179 susceptible=0002 carriers=0298 avg_resistant_fraction=0.4123
day=180 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4155
day=181 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4186
day=182 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4244
day=183 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4260
day=184 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4318
day=185 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4341
day=186 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4377
day=187 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4384
day=188 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4434
day=189 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4450
day=190 susceptible=0002 carriers=0298 avg_resistant_fraction=0.4496
day=191 susceptible=0002 carriers=0298 avg_resistant_fraction=0.4557
day=192 susceptible=0003 carriers=0297 avg_resistant_fraction=0.4605
day=193 susceptible=0005 carriers=0295 avg_resistant_fraction=0.4605
day=194 susceptible=0003 carriers=0297 avg_resistant_fraction=0.4591
day=195 susceptible=0002 carriers=0298 avg_resistant_fraction=0.4616
day=196 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4598
day=197 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4649
day=198 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4684
day=199 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4707
day=200 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4738
day=201 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4774
day=202 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4818
day=203 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4862
day=204 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4897
day=205 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4938
day=206 susceptible=0000 carriers=0300 avg_resistant_fraction=0.4976
day=207 susceptible=0001 carriers=0299 avg_resistant_fraction=0.4995
day=208 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5019
day=209 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5041
day=210 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5072
day=211 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5115
day=212 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5140
day=213 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5175
day=214 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5206
day=215 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5223
day=216 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5258
day=217 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5281
day=218 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5305
day=219 susceptible=0000 carriers=0300 avg_resistant_fraction=0.5354
day=220 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5345
day=221 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5382
day=222 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5411
day=223 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5434
day=224 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5445
day=225 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5452
day=226 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5514
day=227 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5604
day=228 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5660
day=229 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5731
day=230 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5786
day=231 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5818
day=232 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5849
day=233 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5880
day=234 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5902
day=235 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5935
day=236 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5946
day=237 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5967
day=238 susceptible=0003 carriers=0297 avg_resistant_fraction=0.5979
day=239 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6008
day=240 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6046
day=241 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6086
day=242 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6147
day=243 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6175
day=244 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6212
day=245 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6255
day=246 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6231
day=247 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6283
day=248 susceptible=0000 carriers=0300 avg_resistant_fraction=0.6320
day=249 susceptible=0000 carriers=0300 avg_resistant_fraction=0.6347
day=250 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6341
day=251 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6381
day=252 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6470
day=253 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6491
day=254 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6531
day=255 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6576
day=256 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6636
day=257 susceptible=0000 carriers=0300 avg_resistant_fraction=0.6690
day=258 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6707
day=259 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6718
day=260 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6739
day=261 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6769
day=262 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6821
day=263 susceptible=0005 carriers=0295 avg_resistant_fraction=0.6841
day=264 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6870
day=265 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6832
day=266 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6888
day=267 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6940
day=268 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6954
day=269 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6979
day=270 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7000
day=271 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7031
day=272 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7085
day=273 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7118
day=274 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7150
day=275 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7182
day=276 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7228
day=277 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7250
day=278 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7268
day=279 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7296
day=280 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7316
day=281 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7341
day=282 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7327
day=283 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7358
day=284 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7378
day=285 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7407
day=286 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7450
day=287 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7483
day=288 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7520
day=289 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7546
day=290 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7588
day=291 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7605
day=292 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7615
day=293 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7649
day=294 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7661
day=295 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7702
day=296 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7741
day=297 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7770
day=298 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7794
day=299 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7809
day=300 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7844
run_end day=300 susceptible=1 carriers=299 avg_resistant_fraction=0.7844 active_micro_episodes=299
run_dir=/workspace/outputs/20260410_151228
macro_log_written daily=/workspace/outputs/20260410_151228/data/macro_daily.parquet by_hospital=/workspace/outputs/20260410_151228/data/macro_daily_by_hospital.parquet
micro_log_written daily=/workspace/outputs/20260410_151228/data/micro_daily.parquet by_hospital=/workspace/outputs/20260410_151228/data/micro_daily_by_hospital.parquet patient_daily=/workspace/outputs/20260410_151228/data/micro_patient_daily.parquet genotype=/workspace/outputs/20260410_151228/data/micro_daily_genotype.parquet hospital_population=/workspace/outputs/20260410_151228/data/micro_hospital_population.parquet strain_daily=/workspace/outputs/20260410_151228/data/micro_strain_daily.parquet episode_gene_daily=/workspace/outputs/20260410_151228/data/micro_episode_gene_daily.parquet
plots_written to=/workspace/outputs/20260410_151228/plots
