Source,Target,Type,sign,weight,relation
PatientState,ColonPressure,Directed,+,0.8,Carriers contribute to colonization pressure
PatientState,WithinHost,Directed,+,0.5,Within-host dynamics only matter while carriage persists
WithinHost,BacterialPop,Directed,+,0.7,Within-host dynamics determine total bacterial burden
WithinHost,StrainDiversity,Directed,+,0.7,Within-host evolution changes strain diversity
WithinHost,ResFrac,Directed,+,1.0,Evolution changes resistant fraction
WithinHost,DominantGenotype,Directed,+,0.8,Evolution changes the dominant genotype
Selection,WithinHost,Directed,+,0.9,Selection is a core within-host process
Selection,ResFrac,Directed,+,0.8,Selection changes the resistant fraction
Selection,DominantGenotype,Directed,+,0.7,Selection shifts which genotype dominates
SelPressure,Selection,Directed,+,1.0,Antibiotic pressure drives selection
SelPressure,MutationRate,Directed,+,0.5,Stress can elevate mutation rates
BacterialPop,ClearanceProb,Directed,-,0.8,Large populations are harder to clear
StrainDiversity,MutationHGT,Directed,+,0.4,More strains create more HGT opportunities
MutationRate,MutationHGT,Directed,+,0.8,Higher mutation rate increases new variants
MutationHGT,WithinHost,Directed,+,0.8,Mutation and HGT generate new variants
ResFrac,TransFitness,Directed,+,0.6,Resistance can persist if costs are low
DominantGenotype,TransFitness,Directed,+,0.4,Genotype identity influences transmission performance
Fitness,Selection,Directed,+,0.9,Relative fitness shapes selection outcomes
FitnessCost,Fitness,Directed,-,0.8,Fitness costs reduce competitive success
GrowthBase,Fitness,Directed,+,0.9,Baseline growth increases fitness
MetabolicOpt,FitnessCost,Directed,-,0.8,Compensatory metabolism offsets resistance costs
Efflux,ABXKilling,Directed,-,0.7,Efflux protects against antibiotic killing
Efflux,FitnessCost,Directed,+,0.6,Resistance mechanisms carry growth costs
TargetMod,ABXKilling,Directed,-,0.8,Target changes reduce antibiotic effect
TargetMod,FitnessCost,Directed,+,0.6,Target modification carries a fitness cost
PermReduction,ABXKilling,Directed,-,0.7,Reduced permeability limits drug entry
PermReduction,FitnessCost,Directed,+,0.5,Reduced permeability carries a fitness cost
Stealth,ImmuneClearance,Directed,-,0.9,Stealth reduces immune detection
Adhesion,TransFitness,Directed,+,0.9,Adhesion directly improves transmission fitness
Virulence,TransFitness,Directed,+,0.3,Virulence can modestly affect transmission fitness
Virulence,SeverityMod,Directed,+,0.9,Virulence raises severity
Virulence,LethalityMod,Directed,+,0.9,Virulence raises lethality
HGTCompetence,MutationHGT,Directed,+,0.9,HGT competence increases recombination events
MutationModifier,MutationRate,Directed,+,0.9,Genome-level mutation modifiers tune mutation rate
ImmuneClearance,Fitness,Directed,-,0.6,Immune pressure reduces bacterial fitness
ABXKilling,SelPressure,Directed,+,0.9,More effective killing intensifies selection on survivors
ABXKilling,Fitness,Directed,-,0.7,Antibiotic kill pressure reduces fitness of exposed strains
ClearanceProb,PatientState,Directed,-,0.8,Clearance moves patients out of carriage
TransFitness,RelativeTrans,Directed,+,0.9,Fitter strains transmit better
RelativeTrans,TransProb,Directed,+,0.7,More transmissible strains increase spread probability
